Sample, Time, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ, GYRX, GYRY, GYRZ
0,50231.308000,249.081,29.674,-55.782,534.296,-38.089,70.503,-68.040,69.510,-39.020
1,50231.332000,247.104,30.680,-54.786,533.333,-38.055,72.463,-69.040,77.510,-43.020
2,50231.372000,245.127,32.692,-49.805,535.242,-40.927,73.384,-81.040,86.510,-45.020
3,50231.412000,247.104,32.692,-49.805,532.385,-36.123,72.504,-95.040,94.510,-48.020
4,50231.452000,248.093,31.686,-51.798,536.287,-34.014,78.443,-66.040,102.510,-51.020
5,50231.492000,247.104,35.709,-48.809,532.380,-37.935,78.347,-77.040,105.510,-50.020
6,50231.530000,248.093,34.703,-47.813,535.338,-32.082,78.483,-61.040,108.510,-44.020
7,50231.570000,245.127,40.739,-43.829,530.472,-35.926,82.311,-38.040,99.510,-18.020
8,50231.610000,246.116,44.762,-40.840,531.461,-33.953,83.337,-24.040,85.510,11.980
9,50231.626000,244.139,37.721,-42.833,530.463,-37.781,86.192,-17.040,59.510,53.980
10,50231.666000,246.116,37.721,-40.840,530.446,-38.817,83.227,9.960,35.510,74.980
11,50231.706000,246.116,40.739,-41.837,531.340,-47.437,87.941,-23.040,3.510,117.980
12,50231.746000,249.081,38.727,-42.833,532.331,-44.559,86.045,-35.040,-1.490,147.980
13,50231.786000,249.081,39.733,-43.829,529.375,-50.390,86.890,-95.040,-6.490,194.980
14,50231.832000,253.035,37.721,-42.833,530.338,-50.424,84.930,-97.040,-6.490,233.980
15,50231.872000,249.081,30.680,-41.837,530.262,-58.191,84.758,-155.040,-12.490,285.980
16,50231.912000,249.081,23.639,-46.817,531.122,-68.904,82.561,-146.040,-6.490,316.980
17,50231.952000,249.081,18.609,-48.809,527.145,-80.528,85.236,-157.040,15.510,331.980
18,50231.968000,251.058,11.568,-50.802,529.987,-86.368,83.151,-40.040,72.510,334.980
19,50232.8000,252.046,6.538,-42.833,523.237,-85.333,89.044,42.960,87.510,335.980
20,50232.48000,249.081,4.527,-32.872,523.176,-92.086,90.855,92.960,52.510,355.980
21,50232.88000,251.058,6.538,-28.887,523.086,-101.752,92.602,142.960,-2.490,374.980
22,50232.126000,249.081,-0.503,-25.899,520.031,-117.336,91.269,103.960,-122.490,424.980
23,50232.166000,253.035,1.509,-22.911,523.835,-122.325,83.321,134.960,-250.490,461.980
24,50232.213000,256.000,-3.521,-15.938,516.913,-136.155,75.154,87.960,-414.490,514.980
25,50232.253000,269.838,3.521,-14.942,516.841,-141.247,64.253,119.960,-645.490,567.980
26,50232.268000,296.525,13.580,-13.946,513.729,-159.139,46.198,169.960,-794.490,629.980
27,50232.308000,294.548,66.892,-44.825,509.682,-173.200,26.264,-367.040,-810.490,720.980
28,50232.356000,268.849,63.874,-83.673,511.278,-201.962,-2.810,-875.040,-795.490,828.980
29,50232.388000,251.058,17.603,-92.638,506.299,-209.539,-36.331,-1468.040,-853.490,825.980
30,50232.431000,240.185,132.275,-56.778,495.414,-225.176,-80.831,-2269.040,-655.490,875.980
31,50232.473000,214.486,77.957,-41.837,493.452,-221.937,-109.203,-3621.040,-213.490,896.980
32,50232.521000,220.417,60.857,-45.821,490.529,-217.758,-138.536,-2993.040,501.510,880.980
33,50232.548000,246.116,94.051,-59.767,491.419,-225.537,-139.687,-2469.040,988.510,906.980
34,50232.572000,263.907,87.010,-71.720,494.447,-216.383,-121.826,-2298.040,1506.510,720.980
35,50232.612000,279.722,89.022,-76.700,501.341,-209.866,-93.227,-2444.040,1770.510,430.980
36,50232.656000,294.548,75.945,-79.689,501.420,-208.226,-62.790,-2742.040,1939.510,126.980
37,50232.713000,297.514,71.921,-75.704,503.477,-199.988,-42.009,-2661.040,2029.510,-31.020
38,50232.805000,290.595,56.833,-91.642,495.817,-198.424,-11.590,-2165.040,2164.510,-224.020
39,50232.810000,289.606,46.774,-88.654,481.388,-197.767,24.678,-1732.040,2190.510,-445.020
40,50232.818000,248.093,-6.538,-107.580,477.647,-191.289,56.196,-1659.040,2046.510,-757.020
41,50232.851000,195.707,31.686,-128.498,473.940,-178.317,74.128,-1169.040,1350.510,-570.020
42,50232.867000,165.066,-26.656,-174.319,471.932,-182.565,58.338,-2076.040,250.510,-299.020
43,50232.907000,164.077,-41.745,-194.241,468.902,-186.455,15.097,-2001.040,-1057.490,-3.020
44,50232.947000,230.301,-19.615,-63.751,464.925,-191.045,-15.414,-805.040,-1500.490,11.980
45,50232.995000,292.571,-194.640,-146.428,463.962,-183.093,-50.544,-840.040,-1340.490,23.980
46,50233.30000,260.942,44.762,-73.712,462.012,-177.092,-85.718,-44.040,-1648.490,-272.020
47,50233.70000,248.093,101.092,-114.553,455.201,-173.123,-122.910,-1423.040,-1095.490,-91.020
48,50233.110000,281.699,-76.951,-72.716,449.364,-170.850,-149.349,-700.040,-765.490,3.980
49,50233.150000,267.861,-9.556,-66.739,443.600,-162.600,-168.792,-190.040,-646.490,-10.020
50,50233.173000,254.023,-14.585,-71.720,440.691,-161.808,-175.645,-544.040,-493.490,-31.020
51,50233.212000,243.151,18.609,-38.848,436.818,-160.120,-185.422,43.960,-408.490,-60.020
52,50233.252000,245.127,14.585,-43.829,432.921,-160.417,-197.205,-391.040,-539.490,5.980
53,50233.290000,249.081,28.668,-45.821,421.290,-158.976,-214.849,-305.040,-614.490,13.980
54,50233.330000,247.104,16.597,-53.790,416.487,-152.529,-228.446,-400.040,-694.490,74.980
55,50233.370000,244.139,13.580,-70.724,408.688,-154.935,-246.167,-403.040,-743.490,102.980
56,50233.412000,242.162,12.574,-77.696,397.987,-157.368,-263.896,-305.040,-789.490,162.980
57,50233.453000,239.197,12.574,-84.669,383.442,-157.833,-278.647,-148.040,-811.490,201.980
58,50233.470000,255.012,17.603,-81.681,371.801,-158.249,-292.410,-29.040,-874.490,265.980
59,50233.510000,261.931,-40.739,-71.720,355.154,-175.302,-310.475,-72.040,-1124.490,311.980
60,50233.550000,306.409,6.538,-86.661,325.111,-176.090,-333.111,-51.040,-1369.490,430.980
61,50233.590000,359.784,8.550,-56.778,294.930,-191.420,-355.090,265.960,-1586.490,613.980
62,50233.645000,441.822,-2.515,19.922,269.714,-195.786,-366.027,295.960,-1808.490,726.980
63,50233.726000,478.394,24.644,88.654,227.910,-213.990,-381.229,981.960,-1914.490,656.980
64,50233.735000,342.981,206.711,-181.292,180.142,-252.273,-380.218,1131.960,-2080.490,1134.980
65,50233.753000,281.699,52.809,-132.482,128.876,-249.170,-393.006,-913.040,-1557.490,1088.980
66,50233.806000,126.517,5.532,-212.171,95.989,-247.678,-398.926,-613.040,-678.490,668.980
67,50233.811000,128.494,60.857,-27.891,92.169,-245.472,-385.156,-181.040,316.510,524.980
68,50233.860000,109.714,51.804,-70.724,106.673,-248.049,-376.357,-640.040,1626.510,332.980
69,50233.897000,126.517,37.721,-86.661,132.884,-241.646,-361.449,-679.040,2423.510,46.980
